파일명,찾은물건,개수
-2593-_png_jpg.rf.877d2d50fa28754c9d853a7a1a6aaf45.jpg,"car(0.82), person(0.81), person(0.70), person(0.66), person(0.56), car(0.51), handbag(0.44), car(0.39), person(0.38), person(0.38), person(0.32), handbag(0.27)",12
-2596-_png_jpg.rf.3fc4e074260da2b93a2c2aea073071f4.jpg,"person(0.76), person(0.52), person(0.35), teddy bear(0.32)",4
-2603-_png_jpg.rf.ad93ad157a9922a2cc45569674ea9890.jpg,"person(0.70), person(0.37), person(0.25)",3
-2617-_png_jpg.rf.10f89ede9a4d53394f2d5a1406b793cc.jpg,"person(0.77), person(0.76), person(0.48), person(0.34), skis(0.27)",5
-2621-_png_jpg.rf.0436d0eddec0fc9b674f2198f10f4fa7.jpg,"person(0.89), person(0.88)",2
-2627-_png_jpg.rf.7d7b623d7123b7ea017a00b43603f203.jpg,"person(0.72), train(0.52), stop sign(0.29)",3
-2629-_png_jpg.rf.d6b6847c5d22ff7fe4532f15afb73ac5.jpg,"person(0.92), person(0.92), person(0.92), person(0.91), person(0.89), car(0.49), car(0.29), car(0.25)",8
003891_jpg.rf.88309163c494899ca61b2aebfbc3eb4b.jpg,"person(0.87), person(0.83)",2
003970_jpg.rf.cb23acd0735ad4a6b289d1f180f6b4ff.jpg,"person(0.83), person(0.58)",2
004303_jpg.rf.ef333b06ce4616066e528b6fd8b1f753.jpg,"person(0.72), person(0.53)",2
front_crawling_00607_jpg.rf.8a726d91d52b92d29ce0c6f9a3dd47e5.jpg,person(0.84),1
front_crawling_00649_jpg.rf.0f4ec3bc4021f41ed12d607176cb9df6.jpg,"person(0.85), tie(0.80)",2
front_crawling_00653_jpg.rf.34f89c6c9c3be4c3d1878ec85f6872e7.jpg,person(0.78),1
front_crawling_00727_jpg.rf.e709e55062d988c0772b73ba0bf7aaac.jpg,person(0.42),1
front_crawling_00728_jpg.rf.b746f6471726bdaea875a12a4da0cc8b.jpg,"person(0.74), person(0.43), cell phone(0.38)",3
front_crawling_00737_jpg.rf.b89d41ef2f88ac6804a33dacdce57b07.jpg,"person(0.58), boat(0.42)",2
front_crawling_00747_jpg.rf.dccfccea6468de4fd9d79073b915d727.jpg,"person(0.87), cell phone(0.50), cell phone(0.32)",3
front_crawling_00755_jpg.rf.7ff0e1c6323ba20a6aa2ace3212bae66.jpg,vase(0.26),1
front_crawling_00785_jpg.rf.700f0fef9167acdac5f91c1a0d1a1252.jpg,,0
front_crawling_00814_jpg.rf.5b6f045c5aaf26c5b05954b9a36ba0a7.jpg,person(0.56),1
front_crawling_00908_jpg.rf.aa089099ccccab06803a39393adce763.jpg,"person(0.85), cell phone(0.53)",2
helmet999792_jpg.rf.b945b165c39480c9e94c5d1dcd729f23.jpg,"vase(0.63), person(0.48), refrigerator(0.42)",3
ppe_0302_jpg.rf.bb45a5640ea0170065aff85e44c4a11b.jpg,"person(0.78), person(0.77)",2
ppe_0348_jpg.rf.fdfbf37f2629840cb567c4e188a53bba.jpg,"person(0.53), person(0.49), tie(0.30)",3
ppe_0547_jpg.rf.cd426fc752772897b43e787d1e5efa0f.jpg,"person(0.60), person(0.54), person(0.33), person(0.29)",4
ppe_0601_jpg.rf.0fe06519f489c9d0e307a8758cad7fbd.jpg,"person(0.87), person(0.85)",2
YouTube-FreeStockFootage-PersonThinkingDeeply-h-HC-hj-Zo-720p_mp4-11_jpg.rf.acbdfe1f8a527580d8da14ceb32cf0c1.jpg,"person(0.53), person(0.37)",2
YouTube-FreeStockFootage-PersonThinkingDeeply-h-HC-hj-Zo-720p_mp4-15_jpg.rf.f59fb9c1d69a2b99e883ddba737005f6.jpg,person(0.71),1
YouTube-FreeStockFootage-PersonThinkingDeeply-h-HC-hj-Zo-720p_mp4-7_jpg.rf.4d6b125dc1fa9f9970e29a35bab61c9a.jpg,"person(0.90), chair(0.63)",2
YouTube-FreeStockFootage_Child-playing-with-parents-JoyLaughterHD-RQ_qqCZOkZk-720p_mp4-25_jpg.rf.d2b55df031998df6b82c992c79669ecd.jpg,person(0.78),1
YouTube-FreeStockFootage_Child-playing-with-parents-JoyLaughterHD-RQ_qqCZOkZk-720p_mp4-27_jpg.rf.1c55076d93ef434432fc10889baa4478.jpg,"person(0.85), bed(0.59)",2
YouTube-FreeStockFootage_Child-playing-with-parents-JoyLaughterHD-RQ_qqCZOkZk-720p_mp4-34_jpg.rf.01d6349eabce5613415c586a543c9f0b.jpg,"person(0.78), person(0.62)",2
YouTube-FreeStockFootage_Child-playing-with-parents-JoyLaughterHD-RQ_qqCZOkZk-720p_mp4-35_jpg.rf.d03a2efbca9287a52d02a3d428d2aaf5.jpg,"person(0.72), couch(0.39), person(0.32), teddy bear(0.29)",4
YouTube-FreeStockFootage_Child-playing-with-parents-JoyLaughterHD-RQ_qqCZOkZk-720p_mp4-36_jpg.rf.4c4c8719a26beee53888c85a7eb1896e.jpg,"person(0.77), person(0.45), couch(0.42), teddy bear(0.35), teddy bear(0.29)",5
